GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Accounting System,com.accounting,AccountingApplication,8,0,0,0,3,0,2,0,2,0
Accounting System,com.accounting.controller,AccountingController,0,134,0,0,0,34,0,7,0,7
Accounting System,com.accounting.service,CsvStorageService,0,202,2,10,0,51,2,13,0,9
Accounting System,com.accounting.service,AccountingService,0,53,0,0,0,14,0,6,0,6
Accounting System,com.accounting.model,PageResponse,3,59,0,0,1,22,1,11,1,11
Accounting System,com.accounting.model,AccountingRecord,0,43,0,0,0,18,0,10,0,10
